epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
178,7541.62,1.90857,1.83432,1.6834,0.77372,0.60523,0.64651,0.33682,1.89831,1.63723,1.78914,0.0002477,0.0002477,0.0002477
179,7584.4,1.95103,1.76972,1.63368,0.76138,0.62123,0.65279,0.30782,1.9258,1.64418,1.81394,0.0002378,0.0002378,0.0002378
180,7626.69,1.76022,1.67508,1.55306,0.71827,0.64602,0.64633,0.30991,1.9104,1.67552,1.80928,0.0002279,0.0002279,0.0002279
181,7668.99,1.77614,1.81975,1.60526,0.79262,0.60883,0.66608,0.33686,1.90421,1.59446,1.79401,0.000218,0.000218,0.000218
182,7711.5,1.78049,1.69141,1.53798,0.79529,0.61885,0.66788,0.34811,1.91036,1.61919,1.79281,0.0002081,0.0002081,0.0002081
183,7754.15,1.83712,1.81006,1.66621,0.73539,0.63947,0.65119,0.33748,1.90165,1.65639,1.79443,0.0001982,0.0001982,0.0001982
184,7796.77,1.78661,1.73129,1.56557,0.74684,0.61947,0.65636,0.33822,1.90433,1.62937,1.79263,0.0001883,0.0001883,0.0001883
185,7839.06,1.77243,1.71574,1.55665,0.7,0.62832,0.65552,0.33873,1.90167,1.61486,1.79413,0.0001784,0.0001784,0.0001784
186,7881.6,1.86406,1.80512,1.65664,0.71443,0.6642,0.65672,0.33732,1.89694,1.5959,1.79108,0.0001685,0.0001685,0.0001685
187,7923.77,1.7903,1.74253,1.55974,0.71123,0.63211,0.65426,0.33863,1.90945,1.59051,1.79451,0.0001586,0.0001586,0.0001586
188,7966.19,1.87662,1.76793,1.59544,0.76412,0.63717,0.66527,0.3388,1.89763,1.61627,1.79218,0.0001487,0.0001487,0.0001487
189,8008.73,1.80902,1.70457,1.57763,0.70301,0.64941,0.65836,0.3304,1.90258,1.61013,1.79839,0.0001388,0.0001388,0.0001388
190,8051.09,1.76298,1.65624,1.55602,0.75637,0.66372,0.67411,0.34132,1.89177,1.56939,1.79717,0.0001289,0.0001289,0.0001289
191,8094.51,1.55525,1.45941,1.41663,0.73426,0.68142,0.6674,0.33908,1.89748,1.53422,1.78848,0.000119,0.000119,0.000119
192,8136.77,1.55623,1.45244,1.45426,0.70933,0.64602,0.65456,0.32687,1.90902,1.55941,1.79718,0.0001091,0.0001091,0.0001091
193,8179.44,1.51676,1.47125,1.38102,0.70764,0.63717,0.65814,0.33419,1.91135,1.54773,1.80265,9.92e-05,9.92e-05,9.92e-05
194,8221.8,1.51983,1.37964,1.37387,0.76812,0.59292,0.66138,0.3342,1.90448,1.5489,1.79867,8.93e-05,8.93e-05,8.93e-05
195,8264.42,1.47421,1.38156,1.34068,0.77503,0.62832,0.66718,0.33415,1.90167,1.56688,1.79691,7.94e-05,7.94e-05,7.94e-05
196,8306.82,1.61777,1.50255,1.44715,0.74565,0.6486,0.66953,0.3355,1.89748,1.57077,1.78752,6.95e-05,6.95e-05,6.95e-05
197,8349.24,1.49233,1.4077,1.36502,0.74715,0.66372,0.67028,0.34302,1.88941,1.56562,1.78354,5.96e-05,5.96e-05,5.96e-05
198,8391.59,1.51127,1.43727,1.40731,0.74196,0.64602,0.66698,0.33588,1.89038,1.55069,1.78652,4.97e-05,4.97e-05,4.97e-05
199,8433.96,1.47381,1.31339,1.36372,0.76856,0.64602,0.66374,0.33421,1.88064,1.54287,1.78234,3.98e-05,3.98e-05,3.98e-05
200,8476.27,1.49652,1.34512,1.36046,0.74482,0.65487,0.66429,0.33633,1.88009,1.54558,1.77985,2.99e-05,2.99e-05,2.99e-05
